intent,question,normalized_question,status,reason,response_text,http_status,error
ask_advanced_analytics_templates (6 variations),Which Tier 1 companies offer more than 20 LPA?,Which Tier 1 companies offer more than 20 LPA?,answered,dry-run,,0,
ask_advanced_analytics_templates (6 variations),Which companies require DSA and System Design both?,Which companies require DSA and System Design both?,answered,dry-run,,0,
ask_advanced_analytics_templates (6 variations),Which companies have more than 3 interview rounds?,Which companies have more than 3 interview rounds?,answered,dry-run,,0,
ask_advanced_analytics_templates (6 variations),Which companies allow backlogs and offer high salary?,Which companies allow backlogs and offer high salary?,answered,dry-run,,0,
ask_advanced_analytics_templates (6 variations),Which companies require CGPA above 8 and offer more than 25 LPA?,Which companies require CGPA above 8 and offer more than 25 LPA?,answered,dry-run,,0,
ask_advanced_analytics_templates (6 variations),Which companies hire the most students and offer good packages?,Which companies hire the most students and offer good packages?,answered,dry-run,,0,
ask_allowed_departments (6 variations),Which departments are allowed for Amazon?,Which departments are allowed for Amazon?,answered,dry-run,,0,
ask_allowed_departments (6 variations),Can IT students apply for Google?,Can IT students apply for Google?,answered,dry-run,,0,
ask_allowed_departments (6 variations),Which companies allow CSE students?,Which companies allow CSE students?,answered,dry-run,,0,
ask_allowed_departments (6 variations),Which companies allow ECE students?,Which companies allow ECE students?,answered,dry-run,,0,
ask_allowed_departments (6 variations),Which companies allow multiple departments?,Which companies allow multiple departments?,answered,dry-run,,0,
ask_allowed_departments (6 variations),Which companies are open for all branches?,Which companies are open for all branches?,answered,dry-run,,0,
ask_avg_package (3 variations),What is the average package offered by Amazon?,What is the average package offered by Amazon?,answered,dry-run,,0,
ask_avg_package (3 variations),What is the average salary offered by Microsoft?,What is the average salary offered by Microsoft?,answered,dry-run,,0,
ask_avg_package (3 variations),Compare Amazon and Microsoft packages.,Compare Amazon and Microsoft packages.,answered,dry-run,,0,
ask_backlog_rules (6 variations),What is the backlog policy?,What is the backlog policy?,answered,dry-run,,0,
ask_backlog_rules (6 variations),backlog rules,backlog rules,answered,dry-run,,0,
ask_backlog_rules (6 variations),how many backlogs allowed?,how many backlogs allowed?,answered,dry-run,,0,
ask_backlog_rules (6 variations),backlog criteria,backlog criteria,answered,dry-run,,0,
